Deal_title,Success_probability
TitleXAZ58,59.6
Title5AVS8,60.1
Title2GZ5L,68.6
TitleQVCQO,67.1
TitleQU41K,60.4
TitleMSQ29,71.8
TitleGF3AR,63.6
TitleM1Y03,59.9
TitleO050D,65.6
TitleMY1JL,67.7
TitleHR6TI,66.7
TitleQYD01,63.9
TitleDTQVL,71.1
TitleL0TYU,56.7
TitleCBNHL,60.0
TitleKU2HW,62.0
TitleVLF3R,59.5
Title8ZAVN,56.8
TitleZQS1N,67.2
Title6RJPI,66.6
TitleFITS4,65.3
TitleH7DCS,69.2
TitleW6KGP,65.4
TitleB19A4,61.1
Title3K0H0,69.7
TitleQETZZ,65.5
TitleMMOKL,67.6
TitleVB7TN,62.0
TitleP31A3,71.3
Title84WTP,65.7
Title8O71H,65.3
TitleEOOL3,56.6
TitleSL7PN,69.1
TitleNNMNX,71.5
Title94T7J,67.6
Title5TW58,71.2
TitleFSOQQ,74.7
Title3U0Q9,56.4
Title5TU5S,57.6
TitleZ0JY8,60.8
TitleTXY8Q,54.4
TitleVFIT3,68.1
Title7U9QA,71.8
TitleYQ0XO,60.4
Title7MGIZ,68.2
Title9072O,58.0
TitlePIGTN,57.2
TitleN0MYB,59.5
TitleRIWZ8,65.1
TitleZIGTQ,72.7
TitleTW439,62.8
TitleUIT6V,61.7
TitleR6XH3,66.9
Title58R3H,52.5
TitleDEBAJ,63.1
TitleQZ64P,68.0
TitlePR1PN,64.4
Title482NU,60.9
TitleGZLAP,70.1
TitleS9B92,69.9
TitleY95FX,67.3
TitleFMC0D,54.5
TitleI0INY,71.4
Title0GAJI,67.9
Title6LA9P,69.9
TitleKILVF,68.1
TitleAITZX,65.1
TitleL6A1J,66.0
TitleCYT9J,61.4
TitleDST6L,70.2
Title6BNFS,60.0
TitleXAPT4,67.5
TitleHJ3WF,64.7
TitleNDJ2A,60.0
TitleYYGY8,64.4
TitleCVP13,66.4
TitleL7DS2,58.3
TitleVO0MI,71.7
Title1QLMW,69.8
TitleAFWVU,64.6
TitleMQGXY,65.8
TitlePS05F,67.0
TitleTBPD7,79.4
TitleSC6IH,55.6
TitleWMDY2,67.5
Title8AXHN,60.8
Title8WJ3G,66.8
TitleSYQ3F,59.0
TitleF0S76,69.8
Title23FI5,55.6
TitleYM00H,67.0
TitleV4Q21,58.7
TitleZW3VH,65.0
TitleWTD4L,70.4
TitleHGN2A,59.7
Title5NAK8,65.5
TitleAFWDD,64.1
TitleCVTAZ,57.1
Title6S2L6,68.8
TitleU7VJM,60.3
Title25JJZ,61.9
TitleU2OST,62.1
TitleZK1N8,67.9
TitlePJS42,63.6
TitleT2N5V,69.3
Title2WV7J,69.3
TitleFAB82,68.9
TitleUP3M1,71.4
TitleT2JNN,61.6
TitleCLQNO,63.6
Title9R03I,61.3
Title07QDY,64.0
Title2IVM3,61.0
TitleVP36Q,61.0
TitleK4XJS,63.6
Title4B9AT,66.9
TitleIKWWI,60.9
TitleGIP04,67.9
Title9PWR5,68.3
TitleFPMEZ,60.7
Title2I5M7,64.9
Title9R98H,60.5
Title0NIZP,63.2
TitleWNR0U,66.2
TitleAHKSJ,60.6
TitleJQHWZ,70.6
TitleY63MM,79.0
Title7R26O,66.2
TitleERLRI,66.9
Title9DNDI,69.3
TitleN1GIT,67.8
TitleZHHGX,70.8
TitleILO9W,60.3
TitleV8J6I,67.7
Title6FUHU,71.6
TitleKU88H,59.3
TitleGWFWJ,64.2
TitleQUUJE,62.9
Title1CUT0,69.5
TitleRPEUI,65.9
TitleRWN0X,71.9
Title2TB8F,64.3
TitleJBP95,67.5
Title2EHEM,70.7
TitleJZ4ZZ,59.1
TitleUR93W,60.5
Title2EEYL,70.0
TitleQKKKC,64.0
TitleBV5KY,70.9
TitleYEHWZ,59.5
Title9GWVF,65.6
TitleLF6V7,60.1
TitleGEZF0,58.9
TitleLNVE2,70.9
TitleM0Z66,60.6
Title0Z5ME,67.2
Title72FQJ,61.0
TitleRIG9O,64.2
TitleSNRHC,69.3
TitleZYG49,68.5
TitleL7PNT,64.0
TitleR0QR3,69.3
Title853VR,70.9
TitleAHYGU,60.2
TitleUE5GI,64.0
TitleWQE72,66.7
TitleB3YJF,65.2
TitleP5WMY,59.7
TitleP1ICM,70.2
TitleKK5F9,60.6
TitleMD7B7,58.9
Title6PDLX,67.0
Title7KCK3,61.0
TitleE82ZH,70.0
TitleSOLQY,55.5
TitleCQMFZ,61.2
TitleGMHJJ,69.5
TitleY3CTI,63.0
TitleE0F81,67.4
TitleZFA8I,63.6
TitleULSDL,76.6
Title34CJS,65.9
TitleS9KBI,68.6
Title6CM5T,62.9
TitleLYI3U,66.2
Title38R86,67.2
TitleS82G6,65.9
TitleSYV81,61.7
Title9UUQ3,67.7
TitleHMB3O,67.1
TitleBC20O,67.3
TitleYXY72,62.3
TitleV507Q,60.3
TitleD1JZI,59.5
Title0MNUW,68.5
TitleKSO5Y,65.5
TitleZ5ZLQ,63.1
Title2M7AV,56.3
TitlePQYAC,64.9
TitleN5OC4,58.2
TitleG1V42,68.0
Title4M0M0,67.2
TitleQBMS6,68.2
Title2LAUA,58.3
Title0GLCX,69.7
Title72Y5L,65.6
TitleFCGPO,55.1
TitleOMYPK,67.3
TitleBZMHQ,64.4
Title3MF67,69.8
TitleJLN3N,59.8
Title881YW,62.8
TitleXH1PW,60.3
TitleKUO6X,65.0
TitleRVF5F,59.7
TitleFS6PM,64.3
TitleBLK74,61.0
Title5SA8C,63.7
TitleQRM70,61.6
TitleD8SRX,69.6
Title30J3Q,67.8
TitleHD2QJ,66.5
TitleSEOJC,68.3
TitleFWTDO,70.8
TitleTL45U,64.8
Title3CYSC,65.8
Title777LR,62.7
TitleJKMVS,63.3
Title5SU1I,75.8
Title7OAQB,67.0
Title7JR4T,70.2
TitleOK4D6,59.6
TitleVWZ8U,57.7
Title2BFXG,64.3
TitleQA2XL,70.1
TitleCRJ51,59.1
TitleA1E4X,66.1
TitleKDPSC,55.8
TitleQD7TQ,65.3
TitleTXY5O,55.1
TitleEG6MZ,68.2
TitleS8CK2,68.0
TitleXDTHO,59.3
TitleY3QME,55.8
TitleSV0GA,61.1
TitleXP7EA,59.7
TitleUUFCT,64.7
TitleFJN80,56.3
TitleNY5WX,68.6
TitleRJ1CV,57.7
TitleN40KU,68.9
Title8HF4L,69.1
TitleWTQHE,63.7
TitleJ8X0T,73.1
Title5WYGO,72.8
TitleOX8KK,60.5
TitleZPRX1,72.6
TitleGRFOA,70.8
TitleV587I,64.6
TitleKW46K,61.6
TitleZJ2K4,63.4
TitleEPO7G,66.5
Title4KC4G,57.1
TitleSQ1UX,67.3
TitleXTSXA,56.4
TitleN9D7T,70.6
Title3KSPR,64.9
TitleBSPVW,63.3
TitleIZBD7,57.7
TitleH7U28,69.7
Title1OE44,67.0
TitleVT583,61.9
TitlePLYZ7,61.3
Title5ELG8,67.3
Title6021C,61.4
TitleD6QWR,53.3
Title25DXW,68.5
TitleKQ4GN,67.2
Title212WI,67.0
TitleBLB0L,69.1
Title7D9HI,69.4
TitleEBE82,70.9
TitleV2GHR,67.0
TitleNEB47,58.3
TitleQKO2E,68.4
TitleC1EPZ,65.0
TitleW7GAO,67.8
Title4KKQU,59.7
Title62W3F,66.5
Title5P4GX,61.2
TitleXKYVF,57.6
Title5P66J,68.1
Title1EE9R,67.4
TitleXVCR2,68.7
TitleK44RW,68.7
TitleDWYFP,70.3
Title35K93,67.9
TitleD6C58,66.3
Title37QC6,59.1
TitleEJBN9,57.6
TitleID60J,71.0
Title5ZBJ5,69.6
TitlePCO6B,58.7
TitleM8580,68.4
TitleIAQL1,59.2
TitleWLCXK,57.2
Title5NO46,60.0
TitleAI3PE,58.4
TitlePCQZJ,75.3
TitleHMKTR,58.7
Title68F6W,67.8
Title2SOBE,58.3
Title6QIWC,59.6
TitleWO5WW,72.4
TitleJ6LKX,71.1
TitleEEWU5,61.5
TitleAX85X,60.7
Title443L5,66.6
TitleQC1J3,70.1
TitleNUPCU,66.2
TitleGUX97,59.3
Title5I6VM,63.2
Title728I0,59.4
Title96ZGF,58.7
TitleLU0NA,59.5
TitleEMAGD,73.7
Title9H3O7,67.4
TitleM3CS3,64.8
TitleP597Y,68.5
Title01DZ1,57.6
TitleLNNSR,61.0
TitleHOIHH,61.1
TitleGBS9Q,65.7
Title30FYE,66.8
Title2SUCH,67.8
TitleE9XI2,72.8
TitleDA82X,60.1
TitleYW8HR,64.8
TitleJN6AI,70.3
TitleH2MWB,62.2
TitleYQVSH,64.0
TitleQRZJP,66.9
Title24RUL,59.7
TitleCRE6X,64.3
TitleR43PJ,68.4
TitleP2K1E,64.9
TitleAOBGF,67.2
TitleHBYUY,66.3
TitleEVCML,67.9
TitleZFAPT,59.7
TitleYIUI7,67.8
Title1FPQK,67.7
TitleUJWBW,56.6
TitleBJYR7,60.4
Title8JTF1,59.3
TitleTZA49,59.8
TitleT1B7R,65.5
TitleAM3CB,55.6
TitleWO5ED,61.4
Title2TMWH,65.3
Title06VRW,65.2
TitleYV0UP,59.3
TitleO4V34,69.3
TitleFKSK0,69.1
TitleNEH76,67.2
TitleAVXZC,57.9
TitleV60DG,65.9
TitleUTZ31,64.9
TitleC2PWK,67.9
TitleE4HGA,61.2
TitleS3ZB0,67.5
TitleIP9KH,59.3
TitleCGSRD,68.6
Title5QXSN,67.8
Title5Y2T3,64.6
TitleWD6V4,64.1
TitleXFC6B,67.7
TitleG41PJ,58.6
Title8I7VJ,66.9
TitleCIF2Z,66.1
Title3V4QG,58.8
Title73XMP,62.9
TitleQLI7E,69.1
TitleQ7I7W,69.7
TitleJ4DQW,52.5
TitleKSVLN,60.4
Title6MJU4,59.9
TitleAYMCE,61.2
Title043KJ,60.6
TitleS0GE1,66.0
TitleZNARU,67.9
Title2PJZB,65.0
TitleP0GZJ,69.0
Title38AOP,59.3
Title2FI5G,66.5
TitleYMGMA,65.5
TitleAWKNH,68.1
Title5UDJC,60.7
Title8O4SI,69.7
TitleQAJYO,63.1
TitleV0DBN,60.3
TitleVZPED,59.9
TitleO1AYG,64.3
Title5P39E,69.2
Title108RD,60.7
Title1HV11,59.1
TitleREAXR,70.9
TitleYHGTP,58.3
Title1FBD5,59.5
TitleXIV7E,62.8
TitleHBD7W,67.4
TitleSNRI6,61.4
TitleJNM2W,66.5
TitleLT4SL,68.8
TitleAXAZF,64.2
TitleZWBNC,62.9
TitleQJ4WL,56.9
TitleCR7DT,59.8
Title3NIBO,59.6
TitleZL24H,60.6
TitleFQSKJ,64.0
TitleBNU2C,72.0
TitleKD877,61.2
TitleFQJXF,65.9
Title64GLO,68.1
TitleMSE5Y,64.5
TitleQZ49S,61.6
TitleJ4L5V,68.9
TitleFNW5B,63.3
TitleF9B29,63.8
TitleS1YFA,64.9
TitleHRIXA,70.2
TitleQ6MXK,67.5
TitleSUBDW,66.1
Title83RZD,64.1
TitleUZ1WK,65.6
TitleFXCG1,59.7
TitleGB31Y,56.9
Title4V7DH,66.5
TitleXKJOO,70.0
TitleL4PKX,61.1
TitleXJ4U2,69.5
TitleF5WUU,63.1
TitleCXS2J,65.4
Title3E422,72.2
TitleSA53I,68.1
Title4TW3L,66.4
Title2JPQN,70.1
TitleVGL10,62.1
TitleC0Z97,64.8
TitleZWGTT,67.6
TitleHRY59,63.4
TitleCA0PS,64.9
Title92JV6,62.3
Title921U4,65.4
TitleEE9YB,60.6
TitleUXYL0,54.4
TitleU6AP7,61.7
TitleEMRKZ,70.0
TitleIR8CL,67.7
TitleDR4D4,77.8
TitleI7MHB,69.3
TitleJYDUH,66.7
TitleOOHW2,68.5
TitleAA0K2,62.9
TitleQI6S3,60.7
TitleEN5WF,59.0
TitleASAWY,69.1
Title0XG83,60.5
Title7R23W,56.9
TitleWHX4L,58.4
Title1ER2Y,70.0
Title9VTVJ,59.5
TitleWRVN0,58.2
TitleN0LUE,68.7
TitleYXVMN,66.5
TitleQ0LPL,68.9
Title56GMA,62.0
TitleLI03A,65.8
TitleWZ253,73.3
TitleLXK51,74.2
TitleDGNUU,66.9
TitleMQ41O,61.2
Title25ZKS,66.4
TitleNR8HN,59.7
TitleCPVCW,69.1
Title8KABP,68.4
TitleIMHXK,67.2
Title7HHOZ,68.0
TitleMGECQ,63.9
TitleOQU6Q,57.2
Title3T8Q8,68.2
TitleH4R55,67.5
TitleJ69RU,60.8
TitleC7RYX,60.1
TitleURF8X,63.7
TitleJLQ0Y,68.9
TitleSZL62,62.8
TitleKP3U7,58.7
TitleTRE3S,65.4
TitleN6F2A,65.1
Title4LFA1,69.1
TitleNU02U,69.1
TitleZFXCP,61.7
TitleMMAZY,57.6
TitleYNGW5,59.6
TitleMMDN8,60.1
TitleJJOCR,57.1
TitleISH2D,66.5
Title6OWJL,61.2
TitleJE4O9,63.1
Title3Q4OR,59.3
TitleH0UQK,59.6
Title5LQOQ,71.3
TitlePN59V,64.8
TitleAIMZ4,67.0
TitleR0HQW,61.8
Title86L33,71.3
TitleN7R4T,60.9
TitleMAO9L,68.1
TitleY6XA5,62.0
TitleI8ERD,65.1
TitleUJYEL,70.3
TitleKYSRZ,64.1
Title7RZD6,58.6
TitleOVNNA,61.3
TitleXCW6I,68.0
TitleC700S,70.1
TitleTV7P4,61.1
TitleRQ5OT,67.1
TitleU6ACG,67.8
TitleP1WHY,68.5
TitleAJ8XX,66.6
TitleX99W6,58.4
TitleY1SAV,64.2
TitleID0JM,61.6
TitleLFI9R,69.2
TitleQ7FOO,67.2
TitleYLBWY,66.0
Title8SPUR,62.4
Title9HRQL,59.6
TitleUHPKX,72.7
TitleBLUPD,61.9
TitleS73N4,58.4
TitleLHPZC,64.4
TitleKXZVP,72.0
TitleQ8ZJ5,70.1
TitleVQ58V,60.8
TitleRCGOM,62.0
Title205FL,62.6
TitleQ0JJA,60.2
TitleNKJ1P,61.0
TitleDL5RK,61.1
TitleDXHHB,66.1
Title1HO0Y,70.5
TitleR0GBY,71.1
TitleGW5DY,67.4
TitleZ6KT9,58.2
TitleA5BKG,65.7
TitlePSZTQ,62.6
Title3VAP1,65.5
TitleULTS1,60.1
Title280ZR,69.4
TitleW4DV8,50.1
Title0GAD5,69.4
Title1N8A6,64.5
TitleFLH8A,67.2
TitleH23CM,66.8
TitleT269F,65.9
TitleR5U46,59.8
TitleZEREP,58.6
Title7HJF4,60.3
Title8PQZL,58.6
TitleEGIZM,68.9
Title408P2,59.1
Title8GRU3,60.3
TitleW1T1J,61.2
TitleJISI6,59.8
TitlePCZK5,60.8
TitleR6W9K,64.3
TitleS398A,58.7
Title3O3Z7,61.6
Title76D08,68.8
TitleNXYVG,59.4
Title1ZANJ,60.0
TitleY3W82,60.7
TitleY7YHY,61.8
TitleXX8MH,61.9
TitleUO1RJ,68.3
TitleW91AR,61.7
TitleXTQNO,60.7
TitleKY5CH,66.1
TitleK5PA7,68.9
TitleMNYZG,65.8
TitleFZWCL,67.5
TitleRTETD,64.4
TitleRM0AT,64.8
TitleF2I93,55.4
TitleCGK0T,66.4
TitleLDY20,67.2
TitleG7ASQ,73.0
TitleQ0LC9,70.2
Title6F1QJ,63.7
TitleNV8HX,60.8
Title5RB1Y,57.5
TitleZFZU0,60.3
TitleSV3V8,67.5
TitleQ0D4D,62.3
Title1N86W,66.6
Title96N3Z,67.6
TitleM1RQ5,65.7
TitleFZ9P9,61.3
Title5TEF6,51.8
Title2JDEQ,70.8
TitleDT2SJ,66.8
TitleUH7UE,60.4
TitleX8GD0,63.9
Title39FPS,60.2
Title41VTG,60.0
TitleGM3Q4,66.8
TitleJG6EE,58.4
TitleB59S5,68.7
TitleM5YGV,59.8
TitleRDY6Q,56.9
Title2DZSU,69.9
TitleQ6AE6,68.8
TitleXF7WO,58.6
TitleQUNLH,71.5
Title3XAGQ,67.4
TitleTJYTM,66.3
TitleMXYD9,59.0
TitleZVEUN,68.0
Title6I28C,68.0
TitleJVPCM,60.0
TitleKMH84,69.5
TitleUZH7Y,61.9
TitleJT4D6,58.0
TitleO6I2Z,59.7
TitleKJW77,65.0
TitleIS8WY,58.0
TitleDBU52,64.0
TitleX53DD,67.2
Title2U4U7,70.6
TitleFIMG6,65.7
Title84QHN,75.3
TitleL1CUK,71.6
TitleCKTYO,67.5
TitleA3J06,68.2
TitleSA5JQ,69.1
TitleVTIQ0,58.3
Title20LYN,60.8
TitleLYJHC,68.0
Title79OW9,60.2
TitleVDS21,65.7
TitleL2JEW,59.0
Title91TMK,67.4
TitleNQ6UW,68.5
TitleFZGVV,64.6
TitleRJCDZ,59.0
TitleHHBDW,60.7
TitleSRVI6,67.7
TitleBKT65,64.4
TitleVG340,60.0
TitleJ7HCY,54.7
TitleZ96R8,69.2
Title4WUD8,65.6
Title2BP97,55.9
TitleD1HSV,67.6
TitleC2UUJ,59.6
Title9G7Z7,69.8
TitleI1KEN,68.5
TitleKPLT4,52.5
Title4ZWP5,60.8
TitleBS0WL,53.5
TitleKKWCA,60.3
Title0FU5S,66.8
TitleE0KRJ,65.7
TitleVVRFD,60.8
TitleHT658,72.0
Title852B3,68.3
TitleUXIF0,64.8
Title9JWRB,69.2
Title8UR96,57.4
TitleZ7KJ0,58.3
Title8FJ5H,55.4
TitleHH06V,69.3
Title9I3T6,64.2
TitleF8HC1,64.6
TitleON8DS,65.5
TitleSAZ3H,59.0
TitleDYABC,70.7
TitleW88NY,66.9
Title82CIH,60.4
TitleO56QD,56.9
Title3MLCN,68.3
Title7UY6H,68.4
TitleDNR3M,64.6
Title7B6CX,67.7
Title07MM6,63.7
TitleI9IAV,67.4
TitleYK4LF,62.7
TitleBQUYG,69.0
TitleRV8BW,58.4
Title5ITDB,66.3
TitleW76GX,60.1
TitleB729Z,65.8
Title6YTWX,70.0
TitleQ8BFC,64.9
TitleV27SW,66.2
TitleLDP9Z,66.8
Title54BZJ,70.1
TitleK9D3B,64.0
TitleAAQG7,67.5
Title2WVH7,67.4
TitleQMG6A,59.0
TitleOHTAM,72.3
TitleV03GG,52.1
TitleWSZ3T,66.0
TitleAVXHK,56.7
TitleVTXCA,60.4
Title7941F,67.0
TitleT93VF,60.6
TitleED8J4,64.8
TitleBNIB0,60.3
Title8L2FQ,57.9
Title013WA,68.3
Title6U8JD,64.7
TitleIZ79K,60.6
Title5PLDW,61.0
TitleXUBFQ,59.2
TitleXQ02F,68.6
TitleA12R8,67.4
Title2CV9B,54.3
TitleU8E3D,57.9
Title9PCE2,68.2
TitleP0FXZ,60.5
TitleCFQ3K,70.2
TitleMGDZ8,63.1
TitleIG909,66.0
Title6JM16,60.3
TitleAGWZH,64.7
Title5DKVV,67.4
TitleFFUCT,60.7
TitleGV7XI,68.2
TitleZL409,64.6
Title31RSX,58.5
Title3JEMA,65.9
TitleZB5U0,60.1
TitleM109I,68.2
TitleU7WEV,68.7
TitleO3PQQ,63.6
TitleVDD91,65.6
TitleOJV2K,59.2
TitlePLWWG,64.7
TitleBCQIN,58.3
TitlePKRME,64.9
Title9IF16,65.8
TitleNFJJ0,63.8
TitleS0ZXM,64.5
TitleVHI07,60.8
TitleI6DYI,65.4
TitleZQRIZ,66.5
Title7APVX,68.2
TitleHFKTG,66.7
TitleGUFXV,71.9
TitleN3VPE,64.0
Title31RKT,71.4
TitleY0HVR,60.2
TitlePQ5SJ,60.7
TitleWJZHU,64.7
TitleM49YE,60.7
TitleUMLYA,68.3
Title9BHDG,62.9
TitleBSAAD,68.5
TitleE0CW3,59.3
Title73ZNE,56.4
TitleXZSVX,67.9
TitleTBE5E,66.9
TitleXNL80,67.6
TitleJSMS5,57.1
TitleQ9F4N,58.0
Title3PIBO,67.9
Title9NZL7,65.7
Title7IIH3,60.0
Title57ZHD,59.7
TitleM217C,64.4
TitleEDOCD,66.6
TitleMEH6X,67.5
TitleDUQ23,59.6
TitleDJKZD,70.2
TitleK3CB0,59.9
TitleQDGJS,68.3
TitleT4ZWO,58.2
TitleE38OK,58.2
TitleSQBLU,60.6
TitleLPIH0,61.1
TitleEH1XB,62.9
Title9LMWD,73.6
TitleIY4JP,69.5
Title32BHO,69.5
TitleWRFTS,67.3
Title6R8YY,63.1
TitleR4LB9,58.0
TitleE1AWV,64.2
TitleH7YB1,58.7
Title719HX,62.8
TitleESQPM,69.4
TitleOZOUT,69.4
TitleXKOLD,68.6
Title4ZA24,70.0
TitleLQHNU,63.7
TitleY9IG8,60.2
TitleT6ISM,66.4
TitleA6121,66.5
Title375P6,68.5
Title0I86K,64.4
TitleVIVN9,69.0
TitleOWJAW,69.2
TitleBBMUM,65.7
Title9VFH9,68.8
TitleR11CX,60.0
Title82DQ7,60.7
TitleIVLS7,72.0
TitleVZIVX,79.5
TitleMREEV,65.0
TitleZLTMX,69.7
Title1KYR7,65.1
TitleO0AIE,66.0
TitleBE5HO,59.8
Title85EPD,59.5
TitleUAJOX,63.3
TitleKXLZ1,62.9
Title6SVNM,65.1
TitleIJNJZ,64.0
Title9ZE5W,58.2
TitleMPJT7,66.2
Title9A9O6,67.8
TitleIU0LO,70.7
TitleVAKQY,64.8
Title2K1OA,52.1
Title72SUU,68.6
TitleH1PWT,71.3
TitleQY76J,62.1
TitleKDURS,65.2
TitleZA3HK,66.9
TitleYAU4L,67.9
TitleCYJDK,63.2
TitleKANYG,59.5
Title1HQYD,69.4
TitleZTMJJ,65.4
Title1L5SN,61.1
TitleZ5ZYD,73.1
Title6TYUI,62.9
TitleBHSPR,55.4
Title4B3IC,67.2
TitleH13PD,70.4
Title9V62Y,58.7
TitleSAMZQ,67.2
TitleQALDY,72.1
Title87TBE,62.5
TitleAWG5Y,60.2
TitleYKL1L,61.3
TitleUXOC3,58.3
TitleLRKK5,58.2
Title5IV1R,61.0
TitleRSLKR,64.3
TitleNYKLA,58.2
TitleXU29Q,67.6
TitleXWKBQ,67.7
TitleLPACI,60.0
TitleR9F1M,64.5
TitleQHTDD,67.7
Title4FRC1,58.7
TitleY1IDY,66.7
Title9RQ55,59.6
TitleZHCIX,63.7
TitleOCI7Q,63.1
TitlePN8Q4,59.8
TitleAULBR,72.1
TitleHVKUX,68.7
TitleMF27R,61.1
TitleEEMZV,71.8
Title0DBE8,60.5
TitleDKL6N,60.0
TitleK5NCL,61.0
Title6HL1Y,58.4
Title9JHMK,64.6
TitleY9SAK,65.2
TitleEL816,63.7
TitleGBPVN,61.1
TitleBGCH2,63.0
TitleD338P,61.4
TitleESWIC,65.7
TitleHJOQV,64.4
TitleOU3NF,65.0
TitleRVK2Q,64.4
Title80F7S,55.3
TitleEP4N9,68.3
Title92JGX,67.9
TitleLKGP0,57.6
Title1T6W8,71.7
TitleUBYP7,60.0
Title27VTQ,62.6
TitleUGIJV,64.9
TitleK9KZ8,60.3
TitleDE9J9,56.6
Title9BIKV,66.6
TitleL4JQC,67.7
Title8X1FT,57.6
Title8XQ8J,61.5
TitleHDQKC,69.8
Title2NJU1,64.9
TitleJSQUT,64.7
TitleX0SS2,66.7
TitleO64ZW,71.0
TitleODYJX,63.3
TitleX2GH0,61.3
Title3R3GZ,69.0
TitleIPLGP,67.1
Title2ML34,57.7
Title9IOB9,70.5
Title9E343,57.9
Title3RKQV,55.3
TitleAEYIF,59.3
Title1ZZK6,59.1
Title9248W,70.2
TitleOTY4L,69.0
TitleNIEBG,65.1
TitleJ5RYP,65.7
Title58W1F,61.2
TitleJW6MX,63.5
Title1NU6J,64.4
TitleAA8Q4,55.3
Title0ZIU0,64.1
TitleRWTCH,62.1
TitleZMHRB,61.6
TitleTWH5D,69.3
TitleQ2TLG,64.2
TitleITK46,68.3
TitleR8ZKN,68.9
Title0UAXO,71.8
TitleM7ZNX,64.6
TitleUT7Z4,65.4
Title2GENZ,60.4
TitleTOSC0,62.0
TitleN3HOJ,66.9
TitleA9OBP,61.1
TitleX9YLI,68.5
TitleRGN7H,66.8
TitleQ87RT,60.3
TitleG8IJX,67.3
TitleQ28IV,68.6
Title2B84M,67.5
TitleHNM1N,65.6
TitleJ7ALN,60.5
Title1F9JY,71.3
TitleMLWOG,59.4
Title4KT4G,66.5
TitleSIYFQ,58.5
TitleKTRH7,63.6
Title4ZEAS,62.8
Title58LHK,68.3
TitleCMDBW,70.6
TitleB05O6,66.7
